"SH","binomial","ndiffsite","abn","ndead","hypave","conave","rhizave","ecm_status","unite_taxonomy"
"SH2713392.08FU","Craterellus_sp",1,2,,,,,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellaceae;g__Craterellus;s__Craterellus_sp"
"SH1615621.08FU","Lasiosphaeriaceae_sp",2,2,,,,,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__unidentified;s__Lasiosphaeriaceae_sp"
"SH1524445.08FU","Lecanicillium_flavidum",2,2,0,1.5,1,1,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Lecanicillium;s__Lecanicillium_flavidum"
"SH1242585.08FU","Russula_romellii",1,2,,,,,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_romellii"
"SH1626904.08FU","Venturiaceae_sp",1,2,1,2.5,1,1,"?","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__unidentified;s__Venturiaceae_sp"
"SH1182435.08FU","Helotiaceae_sp",2,2,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__unidentified;s__Helotiaceae_sp"
"SH1552440.08FU","Metapochonia_bulbillosa",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metapochonia;s__Metapochonia_bulbillosa"
"SH1546197.08FU","Trechispora_sp",1,1,0,1,1,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora;s__Trechispora_sp"
"SH1577119.08FU","Leccinellum_lepidum",1,1,0,1,1,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Leccinellum;s__Leccinellum_lepidum"
"SH1240031.08FU","Dictyocatenulata_sp",1,1,0,2,1,1,"?","k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanoromycetes_ord_Incertae_sedis;f__Lecanoromycetes_fam_Incertae_sedis;g__Dictyocatenulata;s__Dictyocatenulata_sp"
"SH1515316.08FU","Trichoderma_lixii",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_lixii"
"SH2593699.08FU","Atheliaceae_sp",1,1,0,1,1,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__unidentified;s__Atheliaceae_sp"
"SH1544245.08FU","Hyaloscyphaceae_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1156260.08FU","Meria_laricis",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Cenangiaceae;g__Meria;s__Meria_laricis"
"SH2593844.08FU","Oidiodendron_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_sp"
"SH1560329.08FU","Gymnopus_confluens",1,1,0,1,2,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Omphalotaceae;g__Gymnopus;s__Gymnopus_confluens"
"SH1235442.08FU","Helotiaceae_sp",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__unidentified;s__Helotiaceae_sp"
"SH2596400.08FU","Neopyrenopeziza_nigripigmentata",1,1,0,2,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Loramycetaceae;g__Neopyrenopeziza;s__Neopyrenopeziza_nigripigmentata"
"SH1626899.08FU","Venturia_sp",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia;s__Venturia_sp"
"SH1559861.08FU","Mortierella_sp",1,1,,,,,"?","k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp"
"SH2589065.08FU","Teratosphaeriaceae_sp",1,1,0,2,1,1,"?","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified;s__Teratosphaeriaceae_sp"
"SH1568716.08FU","Trichoderma_semiorbis",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_semiorbis"
"SH1156174.08FU","Hyaloscyphaceae_sp",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1528208.08FU","Vishniacozyma_carnescens",1,1,1,4,1,1,"?","k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_carnescens"
"SH1542668.08FU","Gymnopus_peronatus",1,1,,,,,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Omphalotaceae;g__Gymnopus;s__Gymnopus_peronatus"
"SH1156144.08FU","Hyaloscyphaceae_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1615656.08FU","Chaetomium_sp",1,1,0,2,1,1,"?","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium_sp"
"SH1544535.08FU","Scopuloides_hydnoides",1,1,,,,,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Scopuloides;s__Scopuloides_hydnoides"
"SH2700069.08FU","Clavulinaceae_sp",1,1,,,,,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__unidentified;s__Clavulinaceae_sp"
"SH1544263.08FU","Hyaloscyphaceae_sp",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1156032.08FU","Lasiodiplodia_theobromae",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Lasiodiplodia;s__Lasiodiplodia_theobromae"
"SH1161090.08FU","Thermomyces_lanuginosus",1,1,0,2,1,1,"?","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Thermomyces;s__Thermomyces_lanuginosus"
"SH2710234.08FU","Anamylopsora_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Baeomycetales;f__Anamylopsoraceae;g__Anamylopsora;s__Anamylopsora_sp"
"SH1182891.08FU","Abrothallus_doliiformis",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Abrothallales;f__Abrothallaceae;g__Abrothallus;s__Abrothallus_doliiformis"
"SH1554546.08FU","Ceratobasidium_sp",1,1,0,6,1,1,"?","k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium;s__Ceratobasidium_sp"
"SH1690377.08FU","Erysiphe_nothofagi",1,1,0,4,1,2,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Erysiphe;s__Erysiphe_nothofagi"
"SH1555953.08FU","Mortierella_angusta",1,1,,,,,"?","k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_angusta"
"SH1544244.08FU","Hyaloscyphaceae_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
"SH1564824.08FU","Cryptosporiopsis_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Cryptosporiopsis;s__Cryptosporiopsis_sp"
"SH1518300.08FU","Humaria_sp",1,1,0,1,1,1,"?","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Humaria;s__Humaria_sp"
"SH1156133.08FU","Hyaloscyphaceae_sp",1,1,,,,,"?","k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__Hyaloscyphaceae_sp"
